55AA,喪,12
55AB,喫,12
55AC,喬,12
55AE,單,12
55B0,喰,12
55B6,営,11
55C5,嗅,12
55E3,嗣,13
5606,嘆,13
5609,嘉,14
5617,嘗,14
5629,嘩,13
5631,嘱,15
5632,嘲,15
5642,噂,15
564C,噌,14
5668,器,15
5674,噴,15
5687,嚇,17
56B4,嚴,19
56DA,囚,5
56DB,四,5
56DE,回,6
56E0,因,6
56E3,団,6
56F0,困,7
56F2,囲,7
56F3,図,7
56FA,固,8
56FD,国,8
5703,圃,10
5708,圈,11
570B,國,11
570F,圏,12
5712,園,13
5713,圓,13
5718,團,14
571F,土,3
5727,圧,5
5728,在,6
572D,圭,6
5730,地,6
5742,坂,7
5747,均,7
574A,坊,7
5750,坐,7
5751,坑,7
5766,坦,8
576A,坪,8
5782,垂,8
578B,型,9
57A3,垣,9
57CB,埋,10
57CE,城,9
57DC,埜,11
57DF,域,11
57F4,埴,11
57F7,執,11
57F9,培,11
57FA,基,11
57FC,埼,11
5800,堀,11
5802,堂,11
5805,堅,11
5806,堆,11
5815,堕,12
5824,堤,12
582A,堪,12
582F,堯,12
5830,堰,12
5831,報,12
5834,場,12
5835,堵,11
583A,堺,12
5840,塀,12
5841,塁,12
584A,塊,13
5851,塑,13
5854,塔,12
5857,塗,13
5859,塙,13
585A,塚,12
585E,塞,13
5861,塡,13
5869,塩,13
587E,塾,14
5883,境,14
5893,墓,13
5897,増,14
589C,墜,15
589E,增,15
58A8,墨,14
58B3,墳,15
58BE,墾,16
58C1,壁,16
58C7,壇,16
58CA,壊,16
58CC,壌,16
58D5,壕,17
58D8,壘,18
58DE,壞,19
58EB,士,3
58EC,壬,4
58EE,壮,6
58EF,壯,7
58F0,声,7
58F1,壱,7
58F2,売,7
58FD,壽,14
5909,変,9
590F,夏,10
5915,夕,3
5916,外,5
591A,多,6
591C,夜,8
5922,夢,13
5927,大,3
5929,天,4
592A,太,4
592B,夫,4
592E,央,5
5931,失,5
5937,夷,6
5944,奄,8
5947,奇,8
5948,奈,8
5949,奉,8
594E,奎,9
594F,奏,9
5951,契,9
5954,奔,8
5957,套,10
5965,奥,12
5967,奧,13
5968,奨,12
596A,奪,14
596C,奬,14
596E,奮,16
5973,女,3
5974,奴,5
597D,好,6
5982,如,6
5983,妃,6
5984,妄,6
598A,妊,7
5996,妖,7
5999,妙,7
59A5,妥,7
59A8,妨,7
59AC,妬,8
59B9,妹,8
59BB,妻,8
59C9,姉,7
59CB,始,8
59D3,姓,8
59D4,委,8
59E5,姥,9
59EA,姪,9
59EB,姫,9
59FB,姻,9
59FF,姿,9
5A01,威,9
5A03,娃,9
5A18,娘,10
5A20,娠,10
5A29,娩,10
5A2F,娯,10
5A46,婆,11
5A5A,婚,11
5A66,婦,11
5A7F,婿,12
5A92,媒,12
5A9B,媛,12
5AC1,嫁,13
5AC9,嫉,13
5ACC,嫌,13
5AE1,嫡,14
5B09,嬉,15
5B22,嬢,16
5B43,孃,20
5B50,子,3
5B54,孔,4
5B57,字,6
5B58,存,6
5B5C,孜,7
5B5D,孝,7
5B5F,孟,8
5B63,季,8
5B64,孤,8
5B66,学,8
5B6B,孫,10
5B85,宅,6
5B87,宇,6
5B88,守,6
5B89,安,6
5B8B,宋,7
5B8C,完,7
5B8F,宏,7
5B95,宕,8
5B97,宗,8
5B98,官,8
5B99,宙,8
5B9A,定,8
5B9B,宛,8
5B9C,宜,8
5B9D,宝,8
5B9F,実,8
5BA2,客,9
5BA3,宣,9
5BA4,室,9
5BA5,宥,9
5BAE,宮,10
5BB0,宰,10
5BB3,害,10
5BB4,宴,10
5BB5,宵,10
5BB6,家,10
5BB9,容,10
5BBF,宿,11
5BC2,寂,11
5BC4,寄,11
5BC5,寅,11
5BC6,密,11
5BCC,富,12
5BD2,寒,12
5BD3,寓,12
5BDB,寛,13
5BDD,寝,13
5BDF,察,14
5BE1,寡,14
5BE2,寢,14
5BE6,實,14
5BE7,寧,14
5BE9,審,15
5BEC,寬,14
5BEE,寮,15
5BF5,寵,19
5BF8,寸,3
5BFA,寺,6
5BFE,対,7
5BFF,寿,7
5C01,封,9
5C02,専,9
5C04,射,10
5C06,将,9
5C07,將,11
5C08,專,11
5C09,尉,11
5C0A,尊,12
5C0B,尋,12
5C0E,導,15
5C0F,小,3
5C11,少,4
5C16,尖,6
5C1A,尚,8
5C24,尤,4
5C2D,尭,8
5C31,就,12
5C3A,尺,4
5C3B,尻,5
5C3C,尼,5
5C3D,尽,6
5C3E,尾,7
5C3F,尿,6
5C40,局,7
5C45,居,8
5C48,屈,8
5C4A,届,8
5C4B,屋,9
5C51,屑,10
5C55,展,10
5C5E,属,12
5C64,層,14
5C65,履,15
5C6F,屯,4
5C71,山,3
5C90,岐,7
5CA1,岡,8
5CA9,岩,8
5CAC,岬,8
5CB3,岳,8
5CB8,岸,8
5CE0,峠,9
5CE1,峡,9
5CE8,峨,10
5CEF,峯,10
5CF0,峰,10
5CF6,島,10
5CFB,峻,10
5CFD,峽,10
5D07,崇,11
5D0E,崎,11
5D16,崖,11
5D1A,崚,11
5D29,崩,11
5D50,嵐,12
5D69,嵩,13
5D6F,嵯,12
5D8B,嶋,14
5DBA,嶺,17
5DCC,巌,19
5DD6,巖,22
5DDD,川,3
5DDE,州,6
5DE1,巡,6
5DE2,巢,11
5DE3,巣,11
5DE5,工,3
5DE6,左,5
5DE7,巧,5
5DE8,巨,5
5DEE,差,9
5DF1,己,3
5DF2,已,3
5DF3,巳,3
5DF4,巴,4
5DF7,巷,9
5DFB,巻,9
5DFD,巽,12
5DFE,巾,3
5E02,市,5
5E03,布,5
5E06,帆,6
5E0C,希,7
5E16,帖,8
5E1D,帝,9
5E25,帥,9
5E2B,師,10
5E2D,席,9
5E2F,帯,9
5E30,帰,10
5E33,帳,11
5E36,帶,10
5E38,常,11
5E3D,帽,12
5E45,幅,12
5E4C,幌,13
5E55,幕,13
5E61,幡,15
5E63,幣,14
5E72,干,3
5E73,平,5
5E74,年,6
5E78,幸,8
5E79,幹,13
5E7B,幻,4
5E7C,幼,5
5E7D,幽,9
5E7E,幾,12
5E81,庁,5
5E83,広,5
5E84,庄,6
5E87,庇,7
5E8A,床,7
5E8F,序,7
5E95,底,8
5E97,店,8
5E9A,庚,8
5E9C,府,8
5EA6,度,8
5EA7,座,10
5EAB,庫,10
5EAD,庭,10
5EB5,庵,11
5EB6,庶,10
5EB7,康,11
5EB8,庸,11
5EC3,廃,12
5EC9,廉,13
5ECA,廊,12
5EDF,廟,15
5EE3,廣,14
5EF3,廳,25
5EF6,延,7
5EF7,廷,7
5EFA,建,9
5EFB,廻,9
5EFF,廿,3
5F01,弁,5
5F04,弄,7
5F0A,弊,14
5F0F,式,6
5F10,弐,6
5F13,弓,3
5F14,弔,4
5F15,引,4
5F18,弘,5
5F1B,弛,6
5F1F,弟,7
5F25,弥,8
5F26,弦,8
5F27,弧,8
5F31,弱,10
5F35,張,11
5F37,強,11
5F3E,弾,12
5F48,彈,15
5F4C,彌,17
5F53,当,6
5F57,彗,11
5F59,彙,13
5F62,形,7
5F66,彦,9
5F69,彩,11
5F6A,彪,11
5F6B,彫,11
5F6C,彬,11
5F70,彰,14
5F71,影,15
5F79,役,7
5F7C,彼,8
5F80,往,8
5F81,征,8
5F84,径,8
5F85,待,9
5F8B,律,9
5F8C,後,9
5F90,徐,10
5F92,徒,10
5F93,従,10
5F97,得,11
5F9E,從,11
5FA0,徠,11
5FA1,御,11
5FA9,復,12
5FAA,循,12
5FAE,微,13
5FB3,徳,14
5FB4,徴,14
5FB5,徵,15
5FB7,德,15
5FB9,徹,14
5FBD,徽,16
5FC3,心,4
5FC5,必,5
5FCC,忌,7
5FCD,忍,7
5FD7,志,7
5FD8,忘,7
5FD9,忙,6
5FDC,応,7
5FE0,忠,8
5FEB,快,7
5FF5,念,8
5FFD,忽,8
6012,怒,9
6016,怖,8
601C,怜,8
601D,思,9
6020,怠,9
6025,急,9
6027,性,8
6028,怨,9
602A,怪,8
6046,恆,9
604B,恋,10
6050,恐,10
6052,恒,9
6055,恕,10
6062,恢,9
6063,恣,10
6065,恥,10
6068,恨,9
6069,恩,10
606D,恭,10
606F,息,10
6070,恰,9
6075,恵,10
6089,悉,11
